;Druckmessgerät;Durchflussmesser;3/2-Wege-Magnetventil, in Ruhestellung gesperrt;3/2-Wege-Magnetventil, in Ruhestellung gesperrt;3/2-Wege-Magnetventil, in Ruhestellung gesperrt;3/2-Wege-Magnetventil, in Ruhestellung gesperrt;Zylinder, doppeltwirkend;Zylinder, doppeltwirkend
;PSensorIdeal;QSensorIdeal;V1;V2;V4;V3;ADN_VI_1;ADN_VI2
0;19,38;0;6,46;6,46;6,46;6,46;0;0
0,1;19,38;0;6,46;6,46;6,46;6,46;0;0
0,2;19,38;0;6,46;6,46;6,46;6,46;0;0
0,3;19,38;0;6,46;6,46;6,46;6,46;0;0
0,4;19,38;0;6,46;6,46;6,46;6,46;0;0
0,5;19,3412723;547,1315734;3,23;3,23;3,23;3,23;0,0797487;0,1276819
0,6;18,8006349;745,7093571;3,23;3,23;3,23;3,23;200,5849057;105,9166096
0,7;18,2599975;344,5123814;3,23;3,23;3,23;3,23;274,7454473;111,5630372
0,8;19,0060306;89,0361774;3,23;3,23;3,23;3,23;284,2170024;116,5012227
0,9;19,3722157;13,6814079;3,23;3,23;3,23;3,23;287,5330819;120,233197
1;19,3764793;3,5139816;3,23;3,23;3,23;3,23;290,7;123,6144902
1,1;19,3779974;0,3222571;3,23;3,23;3,23;3,23;290,7;126,6443594
1,2;19,3782558;0,1143743;3,23;3,23;3,23;3,23;290,7;127,9458556
1,3;19,3784496;0,037145;3,23;3,23;3,23;3,23;290,7;129,2
1,4;19,3785788;0,0119187;3,23;3,23;3,23;3,23;290,7;129,2
1,5;19,378708;0,0108851;3,23;3,23;3,23;3,23;290,7;129,2
1,6;19,3788049;0,0099161;3,23;3,23;3,23;3,23;290,7;129,2
1,7;19,3789341;0,0090763;3,23;3,23;3,23;3,23;290,7;129,2
1,8;19,3789987;0,0082688;3,23;3,23;3,23;3,23;290,7;129,2
1,9;19,3790956;0,0075582;3,23;3,23;3,23;3,23;290,7;129,2
2;19,3791925;0,0069122;3,23;3,23;3,23;3,23;290,7;129,2
2,1;19,3792571;0,0062985;3,23;3,23;3,23;3,23;290,7;129,2
2,2;19,3793217;0,0057494;3,23;3,23;3,23;3,23;290,7;129,2
2,3;19,3531264;57,1891203;6,46;3,23;3,23;6,46;290,7;102,225301
2,4;19,3306133;64,2964123;6,46;3,23;3,23;6,46;274,2328463;16,4974188
2,5;19,2629125;120,6518373;6,46;3,23;3,23;6,46;220,3610652;7,5987365
2,6;19,2650443;119,0039882;6,46;3,23;3,23;6,46;165,1736405;2,0708499
2,7;19,2668208;118,1347952;6,46;3,23;3,23;6,46;108,9139204;0,0105621
2,8;19,2674022;118,13402;6,46;3,23;3,23;6,46;55,4710187;0
2,9;19,3626872;37,9365761;6,46;3,23;3,23;6,46;24,0283253;0
3;19,3733139;13,1090842;6,46;3,23;3,23;6,46;15,2966663;0
3,1;19,374509;10,7999572;6,46;3,23;3,23;6,46;10,0700741;0
3,2;19,375155;9,2026253;6,46;3,23;3,23;6,46;5,3752691;0
3,3;19,3756072;8,1995165;6,46;3,23;3,23;6,46;1,2026582;0
3,4;19,3791602;2,7753775;6,46;3,23;3,23;6,46;0,5437705;0
3,5;19,3792248;0,0035207;6,46;3,23;3,23;6,46;0,0028747;0
3,6;19,3792894;0,0031977;6,46;3,23;3,23;6,46;0;0
3,7;19,379354;0,0029393;6,46;3,23;3,23;6,46;0;0
3,8;19,3794186;0,0026809;6,46;3,23;3,23;6,46;0;0
3,9;19,3794832;0,0024548;6,46;3,23;3,23;6,46;0;0
4;19,3795155;0,0022287;6,46;3,23;3,23;6,46;0;0
4,1;19,3795478;0,0020349;6,46;3,23;3,23;6,46;0;0
4,2;19,3795801;0,0018411;6,46;3,23;3,23;6,46;0;0
4,3;19,3796447;0,0016796;6,46;3,23;3,23;6,46;0;0
4,4;19,379677;0,0015504;6,46;3,23;3,23;6,46;0;0
4,5;19,379677;0,0005168;6,46;6,46;3,23;6,46;0;0
4,6;19,3797093;0,0004845;6,46;6,46;3,23;6,46;0;0
4,7;19,3797416;0,0004199;6,46;6,46;3,23;6,46;0;0
4,8;19,3797739;0,0003876;6,46;6,46;3,23;6,46;0;0
4,9;19,3797739;0,0003553;6,46;6,46;3,23;6,46;0;0
5;19,3798062;0,000323;6,46;6,46;3,23;6,46;0;0
5,1;19,3798062;0,0002907;6,46;6,46;3,23;6,46;0;0
5,2;19,3798385;0,0002907;6,46;6,46;3,23;6,46;0;0
5,3;19,3798385;0,0002584;6,46;6,46;3,23;6,46;0;0
5,4;19,3798708;0,0002261;6,46;6,46;3,23;6,46;0;0
5,5;19,3798708;0,0002261;6,46;6,46;3,23;6,46;0;0
5,6;19,3799031;0,0001938;6,46;6,46;3,23;6,46;0;0
5,7;19,3799031;0,0001615;6,46;6,46;3,23;6,46;0;0
5,8;19,3799031;0,0001615;6,46;6,46;3,23;6,46;0;0
5,9;19,3799031;0,0001615;6,46;6,46;3,23;6,46;0;0
6;19,3799354;0,0001292;6,46;6,46;3,23;6,46;0;0
6,1;19,3799354;0,0001292;6,46;6,46;3,23;6,46;0;0
6,2;19,3799354;0,0000969;6,46;6,46;3,23;6,46;0;0
6,3;19,3799354;0,0000969;6,46;6,46;3,23;6,46;0;0
6,4;19,3799354;0,0000969;6,46;6,46;3,23;6,46;0;0
6,5;10,3884875;892,9311421;3,23;3,23;6,46;6,46;47,1349378;0
6,6;14,934551;626,1607586;3,23;3,23;6,46;6,46;162,3040116;0
6,7;18,1002417;325,5821266;3,23;3,23;6,46;6,46;277,4731177;0
6,8;19,3681136;19,7700871;3,23;3,23;6,46;6,46;285,2775729;0
6,9;19,3777067;6,5832245;3,23;3,23;6,46;6,46;289,4732137;0
7;19,3781266;0,0147611;3,23;3,23;6,46;6,46;289,8828746;0
7,1;19,3782881;0,0134691;3,23;3,23;6,46;6,46;290,2925355;0
7,2;19,3784496;0,0123063;3,23;3,23;6,46;6,46;290,7;0
7,3;19,3785788;0,0112404;3,23;3,23;6,46;6,46;290,7;0
7,4;19,378708;0,0102714;3,23;3,23;6,46;6,46;290,7;0
7,5;19,3788049;0,009367;3,23;3,23;6,46;6,46;290,7;0
7,6;19,3789018;0,0085595;3,23;3,23;6,46;6,46;290,7;0
7,7;19,3789987;0,0078166;3,23;3,23;6,46;6,46;290,7;0
7,8;19,3790956;0,0071383;3,23;3,23;6,46;6,46;290,7;0
7,9;19,3791602;0,0065246;3,23;3,23;6,46;6,46;290,7;0
8;19,3792571;0,0059432;3,23;3,23;6,46;6,46;290,7;0
8,1;19,3793217;0,0054264;3,23;3,23;6,46;6,46;290,7;0
